I/E,N/S,T/F,J/P,Essay
I,S,F,P,"Choosing to spend this year at the Explore Data Science Academy could easily have been the best choice I have ever made. The choice has renewed my feeling of purpose and educational/occupational direction. I have learnt more in the past 3 months than I thought I would have for the entire year and am grateful for having been presented with the opportunity.
The fellow students and EDSA staff have added to the excellent experience I have encountered thus far. Interacting with such brilliant minds results in one, inevitably, attempting to better themselves and I have experienced this first hand. I am excited about the path that EDSA is setting me on and look forward to what the future holds for me as a prospective data scientist :)"
E,N,T,J,"We have been at the Explore Data Science Academy for 19 weeks (I counted); let’s simplify to 3 months shall we? 

It has been so exciting working in a group on challenging problems, I feel like a world of possibilities has opened up for me and for us. 

It has been exciting and overwhelming to have met so many new people. Right away I seem to have made a name for myself. I am proud of this, but even more excited that some people feel that I am someone they can come to for help - both practical and emotional. Helping others is a role I am comfortable with since I have typically excelled in an academic environment, but I’ll admit some disappointment that people don’t ask me for help more. I like to be thought of as an expert (even more so I like to feel like an expert, but I find that happens less as I grow older (more experienced? Wiser? One of the old greeks said something about the wisdom of knowing what you don’t know).

The aspect of the larger group that I find most overwhelming is trying to remember everyone, especially since many people seem to know who I am. But I enjoy learning about other people’s backgrounds and am amazed at what a great selection of people are attending the college. 

The experience of working so intensely in this type of team is entirely new. I have worked in teams before at school, university and work, but never with this amount of diversity in a team. And never sitting next to those team members everyday; with the majority of one’s efforts focussed on that team work. My immediate challenge with the first team was working with people who had skills and ways of operating very different from my own. I realised that for most of my career I have worked with the same people, all with the same background and training. This has made me less adaptable and less tolerant of different approaches to a problem. I am trying to learn to relax and give other people’s method of approaching problems a chance. 

I felt very comfortable being the group leader in the first sprint, and very uncomfortable giving up the reigns from the second sprint onwards. In the second project I usurped the actual leader on a number of occasions and seldom pulled myself back. 

I formed a real bond with my first team, despite (or because of) the struggles. In the second team our relationship seems more formal, although things went much more smoothly and the team was arguably more effective. 

I have found it very frustrating to deal with more reserved people. It is hard to read them and difficult for me to reserve judgement when they don’t produce tangible outputs. I am still trying to figure out how best to deal with these people, how to draw them out of their shell and how to have the patience to hear what they are trying to say. I also need to consciously tell myself that what they have to offer may be valuable (I remain unconvinced if the evidence is not right there on the table).

The experience has also underlined for me how much I rely on external encouragement and praise, this has played out it interactions with students and staff. I enjoy teaching other students, specifically one on one or in small groups, with alot of immediate feedback. In the first weeks I felt really supported by the facilitators, later weeks it felt like we had been abandoned for newer, more exciting projects. Similarly I felt much more secure with my first mentor’s hands-on, very available, approach than my second facilitator’s more reserved, hands-off approach."
I,N,T,J,"From a young age I have always been sheltered, reserved and terrified of getting out of my comfort zone. I knew this year would be a challenge as I’d be challenged to break out of my shell. The first day got real for me when I only knew one person out of a hundred. So i had to push myself and open up interact with a crowd (which I struggle with considering I’m very shy and standing in front of people makes me extremely nervous). Lucky for me the people here at the academy are very friendly and understanding.

Working in teams has never been a problem for me, the only issue has been being able to fully be the center of attention and speak my thoughts. But being here has taught me the importance to communicate my ideas without being shy. One of the biggest challenge with working in a team for me was dealing with teammates that aren’t fully committed to tasks that are assigned to them. I personally prefer to get things done in a certain way so it was a bit of a challenge when team timelines weren’t met and team members weren’t putting as much effort as everyone else. The lab exposes us to different personalities and one needs to learn how to work together effectively with this many personalities as many conflicting personalities could be a recipe for a disaster. I could say that I was lucky that in both the teams I had been assigned to weren’t too difficult. We all understood the importance of contribution and communication. Where there was a misunderstanding we’d address it before it becomes conflict, that way were able prevent it.

In all my teams the decision-making process has been pretty much the same. Generally, a challenge is put the team, we all communicate our strengths and weaknesses, from there we are able to distribute tasks together based on our strengths and weaknesses. When decisions need to be made, every member is given an opportunity to give his opinion and from the we decide together as a team taking into consideration every member's contribution.

Overall, the experience so far has been great. I am learning new things everyday. The workload does get challenging from time to time but it can be managed. I am slowly coming out of my shell, talking more, interacting more and opening up."
I,N,T,P,"My experience in the academy have really been a mixed bag so far. Initially I had to ""own"" whatever decision making process that was needed in order to get ahead  but now, with a new group, I've had to participate with others and have been made to feel more a ""follower"" than a leader at times. It's really nice working with people who have a myriad of personalities. I don't really think I've come across a situation that tempered with me emotionally although I do think of myself as quite the emotional person. I think so far our decision making have been just the way I prefer; logical and straightforward also with room for change as we improve our personal knowledge"
I,N,T,P,"I find my experiences at the academy to be interesting and fulfilling. I really like working with smart people and to EXPLORE gives me that in abundance. I have had a few personality clashes and character development hurdles that point to my need for growth and adjustment. One of my real challenges is to find a balance between zoning in to focus on my work and teaming up to discuss ideas with others or to help others.

If I had to choose to start over again I would have rather acted like a focused introvert because then I would give myself the time to learn without harming my learning curve. This honestly has contributed negatively to my group members who know, as well as I do, that I can deliver more.

Working together in the lab is the only thing that made real progress in the growth of us and as individuals. Crucial team decisions were easier to make. Working in the lab also has its downsides and I feel that I am still to take full advantage of this privilege.

I have missed a couple of key submissions already, I messed up two tests and failed badly. This made me aware that the team dynamics in the past have been negatively affected by the catch-up work that I had to do at the cost of the team process. I honestly think I am being too hard on myself but that also says that I have a high expectations of myself.

The decision-making process is usually one based on voting.  People who are seen as getting things or as knowledgeable automatically obtain more voting power. Past experience in the work is usually a drive in what a person chooses to do in the group and what role they are willing to play.

In the future, I would prefer, that rules of engagement be given thorough attention prior to the commencement of group work. In this way, the best can be obtained from everyone.

I personally believe that I need to be at a place where I am comfortable enough with the work to be done and the tools available. Once this has been accomplished. I can achieve more and contribute more."
I,N,T,J,"My experience in the academy thus far has been very potent and insightful to me this year, and it has changed my life to become a person who really enjoys the importance of cooperating with others. Being brought together with these amazing minds in this space has really helped me to acquire both soft and hard skills in a short space of time, and it has indeed helped to elevate my way of learning new technical subjects efficiently and effectively. Also, the management team at large especially the supervisors have been very instrumental and always improvising just to make sure that we are led in a way that will help us to walk away as well informed junior data scientists by the end of the year, hence they work tirelessly in making sure that they break down any obstacle to be so attractive and easily comprehended as possible for us in order to not being put off by the hard work. In addition to that, Nuri herself has a very formidable way of helping us to cope with our psychological illnesses caused by the intensity of the program, and she always go an extra mile in making sure that no one feels solitary. The supporting structure throughout the program is of importance, because it does help us to understand the essence behind excruciating our vulnerability to the management so to enable them to see what does work and not. In last words, I want to close by saying that being here for me means life, and I'm so grateful for the opportunity, and this is the very best thing that has ever happened in my life besides varsity, and I'm pretty sure that it will set my life for greater things and achievements."
I,N,T,J,"My time at the academy so far has been challenging, yet extremely rewarding and self-fulfilling - especially with regards to working with people from different backgrounds and domains of expertise. Although meeting different people has been interesting, I have been more concerned in how to bring different people together towards achieving a common goal.

In the two teams I have worked in, I have often been the one to take the lead, drawing from my ambition and past experience in relation to data science related fields. This has been challenging, since I am more used to - and more comfortable - working alone. I hold my personal contributions to team-based projects to the highest standards, and it is therefore difficult for me when other team members do not show the same dedication to team-based projects as I do.

Working in teams have challenged my personality in both positive and negative ways. I like being in control, and therefore it is difficult for me to allow other people to take the lead in different aspects of projects, especially if I objectively feel that I have more experience in completing the particular objective. However, I have learned that it is impossible to control 
 all aspects of a project and have therefore welcomed and aided contributions from other team members who have shown willingness and aptitude to contribute. In contrast, it has been difficult form me to motivate other team members who show apathy towards achieving a common goal. Although it has been somewhat frustrating, I have ensured that it has never derailed the team from following through with our initial plan and objectives. I have felt comfortable in the role of coordinator, and have relished the opportunity to deliver high-quality deliverables in high pressure situations.

My drive and work ethic has been very good, but I am not always the most productive worker. I have over-analysed and spent excessive amounts of time on subjects that have been interesting and challenging to me on a personal level, instead of focusing my time on the most pressing matters. I generally tend to spend most of my time on challenging and interesting concepts, and tend to postpone and often neglect routine and administrative tasks. This creates a frantic dash for the line when time runs out, and creates unnecessary anxiety. I am conscious of this shortcoming, and actively try to remind myself to prioritise and complete the most pressing matters regardless of personal interest.

I know I have often been regarded as serious by my fellow team mates, since I am always focused and driven when it comes to the task at hand. I have little time for chit-chat and tend to engage more in conversations related to intriguing and philosophical subjects. This is where I feel most comfortable and responsive. However, I have learned that more casual conversation regarding sports and hobbies helps me to learn more about team members, and forges professional, understanding relationships between team members. 

Overall, my work experience at the academy has been an enlightening one, but far from perfect.  have lots to learn, but am eager to improve in this aspect of my career to the benefit of both myself and team mates."
E,S,F,J,"The hardest moments of my life is learning new things, no matter how simple or easy that might be. That was the same difficulty I had when I met new people here in the Academy. The truth is I am talkative in nature, but I’ve always found it difficult to start conversations with students or anyone in the Academy. However, it has been an amazing experience to discover and learn more about different students’ cultural backgrounds and diversities, their interest in data science and life as whole. By my being at the Academy, I have realized that as people we learn and discover ourselves through our interaction with others.  
New environments can be nervous, but yet an exciting ones. The Explore Data Science Academy has been the best example of such scenarios. My being to this Academy has provided me with a great exposure to the working environment and the challenges that we ought to face when we work in teams. While being able to work in a team is the most prerequisite skill needed for a data scientist. This learning curve allowed me to be more self disciplined, self-motivated and to do introspection as no or little effort in group work affect the entire team’s progress and thus, it results with poor performance on the entire team work. Because we are people from different cultural, educational and programming backgrounds, learning the difference between what is right, who is right and when to be right became a key determining factor in understanding how to work with teams.  
After months of being in this Academy, I feel more close to becoming a data scientist than before. The hunger and efforts put in to understand data science seem to be rewarding now. It is a great feeling that I am among the first group to be given this opportunity to learn data science.  Although pressure is too much at times, but I hope and believe everything is designed and meant to prepare us to the real world working environments."
I,S,F,P,"Mixed emotions is what I went through when I came to Cape Town.I felt so ecstatic by the opportunity I was afforded  yet the other side of me was intimidated by the new environment. 
As I walked into the building on the first day my heart was filled with so much anticipation and I could wait to shake everybody's hand and introduce myself. There I was meeting with talented young and old bright sparks .

I never worked in a team before I came to the Academy , I did not know how it was working in a team and often many times I worked alone and did everything by myself. All that changed , when I was teamed up with bright minds and I actually got to work with them . I was really surprised by how much  effective and efficient  I was working in a team. I really enjoyed working in a team. 

I believe that travelling and meeting new people has a potential to widen ones horizons. I learnt a lot and I am still learning a lot from different people in the Academy, not only Academic related lesson but also life lesson that I will carry with me where ever I go.

I had a wonderful fruitful time with my previous team , though we had ups and downs .I learnt that we shouldn't leave issues in the group to grow rather we need to tackle them as they emerge."
I,N,F,J,"It was the 22nd of January 2018, the time was 7:00. That seemed like normal day and time. Then it hit me, the only difference was my location. I'm was in the Western Cape, Cape Town to be precise. I had moved away from home to embark on a journey to become a Data Scientist at the Explore Data Science Academy (EDSA).Today is the 8th of May 2018 and a lot has happened since then...

During the first week I got to meet other students from different family background and different level of education. I met the Explore Team, which included the supervisors, facilitators and Nuri. We were told we would be working in groups of fives. I was nervous because I got used to doing everything on my own. Actually I was terrified. 

The first group I was in was called Optimize Prime(still cracks me up). What made me nervous was that everyone but me had post matric qualification. At the beginning I thought that I was the underdog, until I realised that this was not a competition. I mean there must've been a reason for me to be teamed up with these guys, which was to learn and contribute wherever I can.

In the next group, we named ourselves Wolves of Woodstock (named after the movie Wolves of Wallstreet), I was more confident and more engaging. This was developed in the previous group. I even headed one of the sub projects. The experience was amazing was great. Even my sister didn't believe me.

In the first group were given the opportunity to work on the Cape Town water crisis, where we investigated the demand and supply factors that affected the Cape Town water crisis. In this project I got to use SQl and PowerBI for the first time. I saw another use of python that I didn't know it had the capability of doing, which was analysing data.

In the second group we got to explore the RSA stock market data. We used the data to predict the target return of individual companies. What was interesting about this project was not the accuracy of our predictions, but the limitations of our models.

In each group we were assigned supervisors. I got the chance to be mentored by two different supervisors. I wish I could create table of comparison, but the two were different, but effective.

There are times when the stats, python and all others gets too much. We had group sessions with Nuri, just to refresh."
I,S,F,J,"My experience at EDSA has been great so far.  It has been a massive learning curve academically but also personally.  I took the Myers-Briggs test twice: once, last night and then earlier today and got slightly different results.  The first time I came out with a letter combination of INFP and the second time ISFJ.  Though they are slightly different, I do feel that it is an accurate overall representation of the various attributes that I exhibit. 
 I am seen to be a Diplomat-Mediator as well as (second time taking the test) Defender Sentinel.  I am naturally reserved by nature, not unfriendly, but I prefer working alone and I am comfortable enough to sit alone in a group of people.  However, if approached, I come across as friendly. 
 I am able to read the various personality types in my groups fairly quickly, which allows me to quickly adapt to different situations and what is needed in the group at times.  I don't usually take charge, but If I know that there is an end goal and we have something to achieve, I prefer a clear cut plan on how to achieve it, which has been one of the challenging parts in working in a group, and has made me need to step out of my comfort zone recently to make decisions and voice myself.
The times that I experienced stress was due to the fact that I felt frustrated by myself not being able to comprehend certain concepts quick enough to do significant work for the project, other than that the deadlines itself was not much of an issue.
Overall, I feel that I have thoroughly enjoyed learning about myself in group dynamics so far at EDSA."
I,N,T,P,"I have had a very positive experience at the academy so far. I have enjoyed meeting other people who have a interest in data science and have also made this unusual choice of learning institution. It has been fascinating getting know the people in the class. People here have an incredibly wide range of personalities and backgrounds. I have generally enjoyed working in the lab though it can get rowdy after lunch as people's  work motivation decreases and motivation to socialise increases. While I found my first team members rather like-able, I felt our team dynamic failed dismally at properly tackling the project. We had some success in the beginning t but ultimately I was very disappointed with the team’s performance. We lacked cohesiveness and didn't project manage effectively. Some people focused exclusively on individual learning rather than group work. My second group was considerably better. We had a clear strategy and allocated tasks effectively. We had regular meetings, took minutes, and a wrote out tasks and sub deadlines. Each member was motivated and pulled their weight. We also communicated more frequently and we balanced individual and group tasks much better than my previous group. Decision making in my initial group was rational however we rarely executed those decisions as intended. There was a lot of procrastination and some members arrived late to class and left early. One group member spent most of her time away from the group chatting to friends. While she claimed she was working on group tasks, she ended up contributing absolutely nothing to any of the group tasks. In contrast, each individual in my second group went beyond the call of duty. We had regular meetings and ensured the tasks were divided properly. Progress was closely monitored and, when a problem occurred, we rallied together to solve it or adapt the strategy. There was one member of the group that was already quite experienced at the particular topic of the project and this was a tremendous advantage for us. We thought carefully about our team workflow and set up a the appropriate software and working folders. We analysed the project marking rubric and created a Gantt chart to schedule tasks, and understand dependencies. We also had to manage group member availability as each  member of the group required periods of absence  during the project. We also scheduled tasks around the class tests so we were aware of when time should be allocated to individual efforts. In my initial group there was an unhealthy diffusion of responsibility as each member assumed someone else would pick up the slack. This lead to some group members becoming despondent and refusing to carry the other group members. We also faced an issue where one group member didn’t feel he had sufficient programming skills to make a decent contribution to the group effort. Despite all these shortcomings our group got reasonable marks. The credit should only go to two out of the five group members. I am sure the second group will get good marks. Credit for this also cannot be given equally to all group members as one member was particularly strong. However I think the efforts were more equal than my previous group and everyone felt satisfied with the group effort in the end."
E,N,F,J,
E,S,T,P,"i am a bit of a loner at times so id say the experience have really taught to me to engage with people and talk more especially because we as the student kind of have the same goal. The and based on the academic level i think o got more experience in programming for fact that i am now familiar with sql and python shows that have grown in the academic level.
 
Knowing that i had to wake up everyday to see new faces in the lab i thought that i will not be able to manage knowing that a loner and when i was told that we will be working in teams i thought that was the end of me because m not much of a talker than other people so i thought to myself how m i going to express my opinions, how will i participate but then it happened and i had best experience even started releasing that i need to talk in order for the opinion to be heard.

The last team had really understood me we did not have much of teams challenges and they valued my opinions and  and the decision making part was even pimplier, at first as team we agreed that everybody is gonna take part in everything and then we look at each other strength and weaknesses. 
From there  we assign one another with activities concerning the project but still not forgetting that we had to help each other strengthen our academy weaknesses so we basically created a Fridays for helping each other.

when it comes the decision of me coming the acadamy it was one of the hard decisions 
i had to take Cape Town being far from home and having to choose between completing my honors degree and academy. But i ended up choosing the academy over honors degree because i felt like i needed to experience data science in the marketing world and academy would be the best place to start and the fact that we were ought to learn everything from the beginning that was a great for me because my computing skills was not as i wanted them to be and stipend also contributed to that decision to me coming here.

i would to conclude that i do not regret coming here instead i am happy that i am here.its only being 5 months but already feel like the year is just going a bit faster than i want it to be even the programming skills i do not think i would have got this much experience in the programming languages skills if i was doing my honors.The experience i got so far is the best. It has not only helped me growing academically but also has helped me gain more confidence as an individual."
I,S,T,J,"I like meeting new people once in a while with similar interests as do I, but not too many new people all at once, so I have been connecting with people as time goes by and when we are assigned a new group. I haven't spoken to some students merely because they are strong introverts as myself, but the recent group nominated me the group coordinator and so I had to take a lead in every meeting, and in every interaction acknowledge how on a personal level are the group members feeling for that day, which is something I never really thought of or experienced before, it even grew where every Mondays we share what we did for the weekend, I really appreciated been put in that position to challenge myself to grow on a personal and not only academically. 

I like to make decisions based on the merits of the decision been and efficient and it has come to my attention that been efficient most of the time does not take into account people's feelings, so we made some decisions on my past group so that people will feel included and not left out, it is worth noting that before those same individuals did not contribute in the project in any way, and barely showed up to the academy, never written one single line of code and left me and the other member to take care of making the dashboard, presentation and ultimately present on our own, so the two of us took the uncomfortable route of diplomacy, we pleaded every morning with them to attend the briefings with the supervisor with us and all that, we went to group training sessions but all of that made no impact at all, but with the next group, they all understood what been at the academy meant and we worked together very well. They were stallions, magnificent, all of the sudden the paradigm had changed, I enjoyed having more than one idea to on how best to do things, I originally typed the minutes of the meetings but another member suggested trello which was more effective, I learnt something new, that excited me, because that day, well every day I went to bed knowing something I didn’t know when I woke up and that’s all a data scientist can ask for. 

Above all one important lesson I got from working with these two different groups is that if you leave time to guide how the team work will flow everyone will be miserable at the end of that project, but however if everything is over planned in trello (doesn’t have to be trello)  all the ‘tees’ crossed and the ‘eyes’ dotted, it can be a pleasant experience that will bring out the best out of everyone involved, you will team creativity grow to levels no one planned for in the beginning. And from now on, irrespective of whom I am put in a group to work with, we will sit down maybe second session after “getting to know each other” and map out our strategy with all roles assigned, significant and insignificant."
I,N,F,J,
E,S,T,J,"EDSA Reflections

On 24 November 2017, I was filled with joy, excitement and anxious all at the same time when I opened an email from EDSA titled  “Congratulations! You’ve been accepted at the EXPLORE Data Science Academy!” 
Fast forward to 22 January 2018, I was ready to meet new people (possibly form new friendships), meet the EDSA team and learn more about what lies ahead for 2018, an overwelming day it was.

Today is 6 May 2018, a lot has happened over the past 3 months, I’ve learned so much! SQL, Stats, Python, Power BI, Presentation Skills…[still learning, it never stops :) ]. I am so grateful for being selected as one of the top 100, I’m very appreciative of this opportunity, thank you EDSA for making this possible for me. 

The Lab

Data Scientists in the making, I greatly enjoy being at the Lab, the environment is condusive to learning, a group of Data Science enthusiasts all in one room I feel is a receipe for success. Training is not only limited to Online Courses and EDSA Staff but as students we can learn a lot from each other , we all have different backrounds, skills and experience making the Lab a very interesting and fun place to grow both academically and socially.

Teamwork

The Water Crisis Project : Team LiquiData
I must say initially I was concerned with the amount of individual work we had and having to deliver for the team as well. This is where I realized the importance of an effective team, working well as a team reduced the work load stress and also very helpful with my individual tasks.
It was not all roses with regards to team dynamics, working with different individuals with their own perceptions and opinions was challenging at first, it was frustrating having to decide on certain matters, it helped a lot to be grounded on the Problem Statement as this kept us focused on what needed to be done. This worked well for me as I’m result driven and when given a task, completing that task successfully with all the required and relevant info is very important to me, so refering back to the Problem Statement when we got stuck was a great tool for us. We had some emotional moments in the team due to personality clashes but at the end we worked well and all contributed to the success of the team, Awesome Team!

The RSA Stock Market Project : Wolves of Woodstock
By now I had accepted that I’d have to work with new people, which really was not a problem for me, my only hope and wish was that we had a strong programmer in our team, and that wish was realised we had a statistician and programmer in my team, lovely! A great team, but I felt like the only outspoken person which was (is) a bit too much for me, we still worked well though and delivered.

I prefer working in a team because of different ideas, creativity and different skills and it’s a huge advantage when eveyone in the team is result driven, I absolutelty appreciate that. I’ve had good experience with my teams so far."
E,?,?,?,
I,N,T,P,"On my first day I first looked for familiar faces. After that I started looking for people that I would like to associate my self with. Meeting new people is fine as long as they didn't expect me to keep the conversation going. Found some nice, guys to hang out with.

I love working together in the labs, because then we could share idea's, findings and ways of doing certain things.

I enjoy working in teams. I believe 2 minds is better than one. There is also another line of validity checking. One also learns a lot of new things working in groups.

In team dynamics I like it when, everyone to knows what they need to be doing to achieve the bigger picture. Not in long term though because ones ideas will change as you have a clearer picture, having completed a task. (Problems change and unforeseen problems come up.)

Decisions where made on what has been done and then what still needs to happen. Some times I felt that some team members did not know exactly what it is they needed to do next (They just floated around).

Decision making was based off of what was possible without overworking everyone."
E,N,F,P,"I have enjoyed my time at EDSA so far. I love meeting new people and for the first time in my life i can talk with people face-to-face about programming and topics around data science. Previously it was just strangers over the internet. So it  is great discussing algorithms and coding challenges and geeking out with people that understand and contribute, rather watching people's eyes gloss over as you describe what you trying to achieve (in laymans terms).

I love that there is no prescribed uniform so everyone is as comfortable and naturally at ease, as opposed to a fashion parade. I have countless times struck up a conversation about work, the weekend or even the mountain. Sometimes team members get distracted abit too long or their guests talk abit too loud, but it hasn't been a big thing.

The biggest challenge has been balancing the studying and implementation of the theory when everyone is not on the same page. The team suffers when individuals are not pulling their weight which can put strain on the rest. Luckily I have found a few colleagues with whom i can kick around a few ideas or discuss solutions to current problems.

The decision making process has been by voting on the best way forward. typically consensus is reached about roles, but typically 2 or 3 members end up doing the bulk of the work. Conflict or resentment can  arise but so far no real flare ups have i encountered, it is hard for individuals to argue with the decision made if they are not present or have not put in any work. I tend to keep the peace and expect that everyone act as respectable adults. 

I hate micromanagement and love the freedom we are given with which to solve the problem statement. I am glad that we are able to view other teams' presentations and see how they went about solving the problem. I continue to learn a lot about data science as well as working in a time with a time constraint and seeing how people manage. Even with the workload there are others that offer their  time to assist those need help"
I,S,F,J,"This year was a huge one of change for me, involving many aspects: leaving my stable job, moving cities, moving into a new field, going back to being a student, having to do long distance and taking a chance on a brand new data science academy.

I was quite excited to meet all the new data science students despite my usual shyness. These were people who were taking similar plunges to my own and shared the an interest in the same field. I have enjoyed (slowly) meeting new people and learning about their backgrounds, and it has been very interesting how varied their stories are. 

Working in the lab has been a new experience. Complete self learning is a tough journey, so I am glad we have the Academy and the experience of the supervisors to help guide us on our way to becoming Data Scientists. It is a bit of an unusual area as it’s a computer lab for learning, but also sort of an office, but also where people socialise. I’m not sure it has nailed down what exactly it should be. I do feel I work better at home where it is quiet and comfortable(which is apparently in line with my personality profile too).

The group work element of this year is probably one of the biggest pain points. I can see the intent in setting us up this way, but I don’t think it has quite worked out yet . By itself group work is challenging. Throw in meeting new people with different backgrounds, a huge amount of new content to be learned and fairly significant stakes (internship opportunity) and you can have a difficult situation. I think this has resulted in frustrations running high and poor quality of the work delivered, below what any individual in the group would have wanted. I think just worrying about getting a project done has sometimes gotten in the way of actually trying to learn the content.

In terms of decision making with in groups so far, I think one positive is definitely that logic is valued in our field and by the students. If you can state the reasoning behind a plan solidly you wouldn’t have a problem. I think the challenge is that each group member can interpret instructions and priorities differently, sorting through this to get to get everyone on the same page can take valuable time. On a personal level I noticed that I am always looking for clear, decisive decisions and plans, and do not deal well with “just seeing how it goes”. I think this is something I need to look out for in not only a team setting, but in what I expect from a manager as well. 

Overall, I am still pretty excited for this year and have no regrets about my decision to join. I think the Academy is still a bit rough around the edges and needs refinement, but that is all part of the iterative process right?"
E,N,F,P,"My experience at EDSA has been one that has sparked a lot introspection. Socially, it made be affirm the fact that I am an extroverted person who cherishes human connection, communication and cares for other's well-being. With regards to team-work, it has made me realize that I can be quite assertive and that I prefer logical structure when it comes to completing tasks and fulfilling set roles. It made me also realize that I end up taking charge of the situation in the group, even when it wasn't what I had initially bargained for, mainly when it seems like there isn't much direction in the group and when time seems to be going to waste.

The decision- making process has been a rational one mostly but there have been times when it was based more on emotion because people would choose certain roles based on believing that they are good at a certain thing or because they have interest in it but at the end they don't end up achieving/delivering much or they end up burning out. 

I've also realized that when things don't go according to plan when it comes to activities that are part of my role, I stress and feel defeated easily but my perfectionist side creeps in and I end up completing what needs to be done on time. In future teams I wish to branch out and attempt to master every different skill to my best ability instead of focusing too much on my individual role, because I have a lot of potential and I know that I am capable."
